Farm ID,county,town,E_Coli_Change,Salm_Change,Change in Nature,Change in Riparian,Change in Crop
58,Monterey,San Lucas,-0.003921569,0,-0.026179274,0.004302543,0.005777639
37,Monterey,King City,0.029297571,0.000829207,-0.005589408,-0.000355058,0.004382797
39,Monterey,King City,0.021417106,-0.000319411,-0.066429462,0.028817427,0.034892951
63,Monterey,San Lucas,0.005311766,0.000824381,-0.256058512,-0.069874563,0.302102932
50,Monterey,King City,0.004421599,0.000650407,-0.004942265,-3.47E-06,-0.004170832
68,Monterey,King City,0,0,0.037497672,-0.001098183,-0.05417157
52,Monterey,King City,0,0,0.013154469,0.006726003,-0.01494673
53,Monterey,King City,0.001982161,0,-0.000612754,0.003954937,-0.004914943
51,Monterey,Greenfield,0.017142857,0,-0.036891155,-0.000608579,0.027820633
67,Monterey,King City,0.004448399,0.00088968,-0.004453254,0.002290768,-0.000145049
57,Monterey,Greenfield,0,0,0.00087269,0.001214343,0.000260319
62,Monterey,Soledad,-0.001005025,0,0.001117358,0,-0.001470436
60,Monterey,Soledad,0,0.00118624,5.57E-05,-0.009080925,-0.000424279
99,Monterey,Soledad,0.00683289,0,0.002905512,-0.003678062,4.63E-09
43,Monterey,Chular,0.001717721,0,-0.017668432,0.000411257,0.014342684
44,Monterey,Salinas,0,0,-0.00724653,-0.00141142,0.016505615
41,Monterey,Chular,0.001048218,0,-0.015127,0.016561074,0.01471416
92,San Benito,Paicines,0.07480916,0.000381679,-0.068728901,-0.019754081,0.060766283
19,San Benito,Hollister,0.001168017,0,-0.009298176,0.006590429,-5.44E-05
31,San Benito,Hollister,0.188138563,0,-0.207538026,0,0.203806931
27,San Benito,Hollister,0.000798563,0.000820946,0.010321665,0,-0.00906733
25,San Benito,Hollister,0.015904117,0,-0.122173367,0,0.113878468
26,Monterey,Watsonville,0,0,0.002181476,0.001850711,0.001784455
18,San Benito,Hollister,0.003437155,0.000242895,-0.123284681,-4.17E-07,0.121278119
33,Monterey,Watsonville,0.004854369,0,-0.001812925,0.003787574,0.00068765
28,Monterey,Watsonville,0,0,5.46E-05,0.001843262,-0.000844701
24,Santa Clara,Gilroy,0.002255137,0.000334113,0.00805755,0,-0.00619316
20,San Benito,Hollister,0,0,-0.046579274,0,0.046054235
